Point	Grid		
30	32		
482.125098	45.761940		
494.463468	45.761940		
509.978645	45.761940		
522.307609	45.761940		
537.352018	45.761940		
549.521714	45.761940		
564.606247	45.761940		
576.980837	45.761940		
592.428150	45.761940		
604.395385	45.761940		
619.446391	45.761940		
631.923130	45.761940		
646.810421	45.761940		
658.943661	45.761940		
673.889639	45.761940		
686.301086	45.761940		
701.106904	45.761940		
713.687371	45.761940		
728.386473	45.761940		
741.076379	45.761940		
755.509759	45.761940		
768.194672	45.761940		
782.839787	45.761940		
795.307465	45.761940		
810.055649	45.761940		
822.393138	45.761940		
837.448338	45.761940		
849.621021	45.761940		
864.436509	45.761940		
876.862206	45.761940		
891.481949	45.761940		
903.450926	45.761940		
482.125098	59.958601		
494.463468	59.958601		
509.978645	59.958601		
522.307609	59.958601		
537.352018	59.958601		
549.521714	59.958601		
564.606247	59.958601		
576.980837	59.958601		
592.428150	59.958601		
604.395385	59.958601		
619.446391	59.958601		
631.923130	59.958601		
646.810421	59.958601		
658.943661	59.958601		
673.889639	59.958601		
686.301086	59.958601		
701.106904	59.958601		
713.687371	59.958601		
728.386473	59.958601		
741.076379	59.958601		
755.509759	59.958601		
768.194672	59.958601		
782.839787	59.958601		
795.307465	59.958601		
810.055649	59.958601		
822.393138	59.958601		
837.448338	59.958601		
849.621021	59.958601		
864.436509	59.958601		
876.862206	59.958601		
891.481949	59.958601		
903.450926	59.958601		
482.125098	73.922923		
494.463468	73.922923		
509.978645	73.922923		
522.307609	73.922923		
537.352018	73.922923		
549.521714	73.922923		
564.606247	73.922923		
576.980837	73.922923		
592.428150	73.922923		
604.395385	73.922923		
619.446391	73.922923		
631.923130	73.922923		
646.810421	73.922923		
658.943661	73.922923		
673.889639	73.922923		
686.301086	73.922923		
701.106904	73.922923		
713.687371	73.922923		
728.386473	73.922923		
741.076379	73.922923		
755.509759	73.922923		
768.194672	73.922923		
782.839787	73.922923		
795.307465	73.922923		
810.055649	73.922923		
822.393138	73.922923		
837.448338	73.922923		
849.621021	73.922923		
864.436509	73.922923		
876.862206	73.922923		
891.481949	73.922923		
903.450926	73.922923		
482.125098	87.924727		
494.463468	87.924727		
509.978645	87.924727		
522.307609	87.924727		
537.352018	87.924727		
549.521714	87.924727		
564.606247	87.924727		
576.980837	87.924727		
592.428150	87.924727		
604.395385	87.924727		
619.446391	87.924727		
631.923130	87.924727		
646.810421	87.924727		
658.943661	87.924727		
673.889639	87.924727		
686.301086	87.924727		
701.106904	87.924727		
713.687371	87.924727		
728.386473	87.924727		
741.076379	87.924727		
755.509759	87.924727		
768.194672	87.924727		
782.839787	87.924727		
795.307465	87.924727		
