Point	Grid		
30	32		
1406.339581	2741.305929		
1418.429838	2741.305929		
1433.486860	2741.305929		
1445.634935	2741.305929		
1460.333304	2741.305929		
1472.821826	2741.305929		
1487.466711	2741.305929		
1499.931697	2741.305929		
1514.505220	2741.305929		
1527.149578	2741.305929		
1541.737516	2741.305929		
1554.175025	2741.305929		
1568.844071	2741.305929		
1581.376189	2741.305929		
1595.904356	2741.305929		
1608.318908	2741.305929		
1623.175820	2741.305929		
1635.590094	2741.305929		
1650.087729	2741.305929		
1662.372956	2741.305929		
1677.205363	2741.305929		
1689.557483	2741.305929		
1704.059264	2741.305929		
1716.739808	2741.305929		
1731.404763	2741.305929		
1743.718355	2741.305929		
1758.284754	2741.305929		
1770.892633	2741.305929		
1785.354960	2741.305929		
1797.831621	2741.305929		
1812.469681	2741.305929		
1825.074581	2741.305929		
1406.339581	2755.242343		
1418.429838	2755.242343		
1433.486860	2755.242343		
1445.634935	2755.242343		
1460.333304	2755.242343		
1472.821826	2755.242343		
1487.466711	2755.242343		
1499.931697	2755.242343		
1514.505220	2755.242343		
1527.149578	2755.242343		
1541.737516	2755.242343		
1554.175025	2755.242343		
1568.844071	2755.242343		
1581.376189	2755.242343		
1595.904356	2755.242343		
1608.318908	2755.242343		
1623.175820	2755.242343		
1635.590094	2755.242343		
1650.087729	2755.242343		
1662.372956	2755.242343		
1677.205363	2755.242343		
1689.557483	2755.242343		
1704.059264	2755.242343		
1716.739808	2755.242343		
1731.404763	2755.242343		
1743.718355	2755.242343		
1758.284754	2755.242343		
1770.892633	2755.242343		
1785.354960	2755.242343		
1797.831621	2755.242343		
1812.469681	2755.242343		
1825.074581	2755.242343		
1406.339581	2769.238048		
1418.429838	2769.238048		
1433.486860	2769.238048		
1445.634935	2769.238048		
1460.333304	2769.238048		
1472.821826	2769.238048		
1487.466711	2769.238048		
1499.931697	2769.238048		
1514.505220	2769.238048		
1527.149578	2769.238048		
1541.737516	2769.238048		
1554.175025	2769.238048		
1568.844071	2769.238048		
1581.376189	2769.238048		
1595.904356	2769.238048		
1608.318908	2769.238048		
1623.175820	2769.238048		
1635.590094	2769.238048		
1650.087729	2769.238048		
1662.372956	2769.238048		
1677.205363	2769.238048		
1689.557483	2769.238048		
1704.059264	2769.238048		
1716.739808	2769.238048		
1731.404763	2769.238048		
1743.718355	2769.238048		
1758.284754	2769.238048		
1770.892633	2769.238048		
1785.354960	2769.238048		
1797.831621	2769.238048		
1812.469681	2769.238048		
1825.074581	2769.238048		
1406.339581	2783.057953		
1418.429838	2783.057953		
1433.486860	2783.057953		
1445.634935	2783.057953		
1460.333304	2783.057953		
1472.821826	2783.057953		
1487.466711	2783.057953		
1499.931697	2783.057953		
1514.505220	2783.057953		
1527.149578	2783.057953		
1541.737516	2783.057953		
1554.175025	2783.057953		
1568.844071	2783.057953		
1581.376189	2783.057953		
1595.904356	2783.057953		
1608.318908	2783.057953		
1623.175820	2783.057953		
1635.590094	2783.057953		
1650.087729	2783.057953		
1662.372956	2783.057953		
1677.205363	2783.057953		
1689.557483	2783.057953		
1704.059264	2783.057953		
1716.739808	2783.057953		
1731.404763	2783.057953		
1743.718355	2783.057953		
1758.284754	2783.057953		
1770.892633	2783.057953		
1785.354960	2783.057953		
1797.831621	2783.057953		
1812.469681	2783.057953		
1825.074581	2783.057953		
1406.339581	2796.872112		
1418.429838	2796.872112		
1433.486860	2796.872112		
1445.634935	2796.872112		
1460.333304	2796.872112		
1472.821826	2796.872112		
1487.466711	2796.872112		
1499.931697	2796.872112		
1514.505220	2796.872112		
1527.149578	2796.872112		
1541.737516	2796.872112		
1554.175025	2796.872112		
1568.844071	2796.872112		
1581.376189	2796.872112		
1595.904356	2796.872112		
1608.318908	2796.872112		
1623.175820	2796.872112		
1635.590094	2796.872112		
1650.087729	2796.872112		
1662.372956	2796.872112		
1677.205363	2796.872112		
1689.557483	2796.872112		
1704.059264	2796.872112		
1716.739808	2796.872112		
1731.404763	2796.872112		
1743.718355	2796.872112		
1758.284754	2796.872112		
1770.892633	2796.872112		
1785.354960	2796.872112		
1797.831621	2796.872112		
1812.469681	2796.872112		
1825.074581	2796.872112		
1406.339581	2811.110143		
1418.429838	2811.110143		
1433.486860	2811.110143		
1445.634935	2811.110143		
1460.333304	2811.110143		
1472.821826	2811.110143		
1487.466711	2811.110143		
1499.931697	2811.110143		
1514.505220	2811.110143		
1527.149578	2811.110143		
1541.737516	2811.110143		
1554.175025	2811.110143		
1568.844071	2811.110143		
1581.376189	2811.110143		
1595.904356	2811.110143		
1608.318908	2811.110143		
1623.175820	2811.110143		
1635.590094	2811.110143		
1650.087729	2811.110143		
1662.372956	2811.110143		
1677.205363	2811.110143		
1689.557483	2811.110143		
1704.059264	2811.110143		
1716.739808	2811.110143		
1731.404763	2811.110143		
1743.718355	2811.110143		
1758.284754	2811.110143		
1770.892633	2811.110143		
1785.354960	2811.110143		
1797.831621	2811.110143		
1812.469681	2811.110143		
1825.074581	2811.110143		
1406.339581	2825.125457		
1418.429838	2825.125457		
1433.486860	2825.125457		
1445.634935	2825.125457		
1460.333304	2825.125457		
1472.821826	2825.125457		
1487.466711	2825.125457		
1499.931697	2825.125457		
1514.505220	2825.125457		
1527.149578	2825.125457		
1541.737516	2825.125457		
1554.175025	2825.125457		
1568.844071	2825.125457		
1581.376189	2825.125457		
1595.904356	2825.125457		
1608.318908	2825.125457		
1623.175820	2825.125457		
1635.590094	2825.125457		
1650.087729	2825.125457		
1662.372956	2825.125457		
1677.205363	2825.125457		
1689.557483	2825.125457		
1704.059264	2825.125457		
1716.739808	2825.125457		
1731.404763	2825.125457		
1743.718355	2825.125457		
1758.284754	2825.125457		
1770.892633	2825.125457		
1785.354960	2825.125457		
1797.831621	2825.125457		
1812.469681	2825.125457		
1825.074581	2825.125457		
1406.339581	2839.064339		
1418.429838	2839.064339		
1433.486860	2839.064339		
1445.634935	2839.064339		
1460.333304	2839.064339		
1472.821826	2839.064339		
1487.466711	2839.064339		
1499.931697	2839.064339		
1514.505220	2839.064339		
1527.149578	2839.064339		
1541.737516	2839.064339		
1554.175025	2839.064339		
1568.844071	2839.064339		
1581.376189	2839.064339		
1595.904356	2839.064339		
1608.318908	2839.064339		
1623.175820	2839.064339		
1635.590094	2839.064339		
1650.087729	2839.064339		
1662.372956	2839.064339		
1677.205363	2839.064339		
1689.557483	2839.064339		
1704.059264	2839.064339		
1716.739808	2839.064339		
1731.404763	2839.064339		
1743.718355	2839.064339		
1758.284754	2839.064339		
1770.892633	2839.064339		
1785.354960	2839.064339		
1797.831621	2839.064339		
1812.469681	2839.064339		
1825.074581	2839.064339		
1406.339581	2852.962279		
1418.429838	2852.962279		
1433.486860	2852.962279		
1445.634935	2852.962279		
1460.333304	2852.962279		
1472.821826	2852.962279		
1487.466711	2852.962279		
1499.931697	2852.962279		
1514.505220	2852.962279		
1527.149578	2852.962279		
1541.737516	2852.962279		
1554.175025	2852.962279		
1568.844071	2852.962279		
1581.376189	2852.962279		
1595.904356	2852.962279		
1608.318908	2852.962279		
1623.175820	2852.962279		
1635.590094	2852.962279		
1650.087729	2852.962279		
1662.372956	2852.962279		
1677.205363	2852.962279		
1689.557483	2852.962279		
1704.059264	2852.962279		
1716.739808	2852.962279		
1731.404763	2852.962279		
1743.718355	2852.962279		
1758.284754	2852.962279		
1770.892633	2852.962279		
1785.354960	2852.962279		
1797.831621	2852.962279		
1812.469681	2852.962279		
1825.074581	2852.962279		
1406.339581	2866.887220		
1418.429838	2866.887220		
1433.486860	2866.887220		
1445.634935	2866.887220		
1460.333304	2866.887220		
1472.821826	2866.887220		
1487.466711	2866.887220		
1499.931697	2866.887220		
1514.505220	2866.887220		
1527.149578	2866.887220		
1541.737516	2866.887220		
1554.175025	2866.887220		
1568.844071	2866.887220		
1581.376189	2866.887220		
1595.904356	2866.887220		
1608.318908	2866.887220		
1623.175820	2866.887220		
1635.590094	2866.887220		
1650.087729	2866.887220		
1662.372956	2866.887220		
1677.205363	2866.887220		
1689.557483	2866.887220		
1704.059264	2866.887220		
1716.739808	2866.887220		
1731.404763	2866.887220		
1743.718355	2866.887220		
1758.284754	2866.887220		
1770.892633	2866.887220		
1785.354960	2866.887220		
1797.831621	2866.887220		
1812.469681	2866.887220		
1825.074581	2866.887220		
1406.339581	2880.744308		
1418.429838	2880.744308		
1433.486860	2880.744308		
1445.634935	2880.744308		
1460.333304	2880.744308		
1472.821826	2880.744308		
1487.466711	2880.744308		
1499.931697	2880.744308		
1514.505220	2880.744308		
1527.149578	2880.744308		
1541.737516	2880.744308		
1554.175025	2880.744308		
1568.844071	2880.744308		
1581.376189	2880.744308		
1595.904356	2880.744308		
1608.318908	2880.744308		
1623.175820	2880.744308		
1635.590094	2880.744308		
1650.087729	2880.744308		
1662.372956	2880.744308		
1677.205363	2880.744308		
1689.557483	2880.744308		
1704.059264	2880.744308		
1716.739808	2880.744308		
1731.404763	2880.744308		
1743.718355	2880.744308		
1758.284754	2880.744308		
1770.892633	2880.744308		
1785.354960	2880.744308		
1797.831621	2880.744308		
1812.469681	2880.744308		
1825.074581	2880.744308		
1406.339581	2894.564078		
1418.429838	2894.564078		
1433.486860	2894.564078		
1445.634935	2894.564078		
1460.333304	2894.564078		
1472.821826	2894.564078		
1487.466711	2894.564078		
1499.931697	2894.564078		
1514.505220	2894.564078		
1527.149578	2894.564078		
1541.737516	2894.564078		
1554.175025	2894.564078		
1568.844071	2894.564078		
1581.376189	2894.564078		
1595.904356	2894.564078		
1608.318908	2894.564078		
1623.175820	2894.564078		
1635.590094	2894.564078		
1650.087729	2894.564078		
1662.372956	2894.564078		
1677.205363	2894.564078		
1689.557483	2894.564078		
1704.059264	2894.564078		
1716.739808	2894.564078		
1731.404763	2894.564078		
1743.718355	2894.564078		
1758.284754	2894.564078		
1770.892633	2894.564078		
1785.354960	2894.564078		
1797.831621	2894.564078		
1812.469681	2894.564078		
1825.074581	2894.564078		
1406.339581	2908.518618		
1418.429838	2908.518618		
1433.486860	2908.518618		
1445.634935	2908.518618		
1460.333304	2908.518618		
1472.821826	2908.518618		
1487.466711	2908.518618		
1499.931697	2908.518618		
1514.505220	2908.518618		
1527.149578	2908.518618		
1541.737516	2908.518618		
1554.175025	2908.518618		
1568.844071	2908.518618		
1581.376189	2908.518618		
1595.904356	2908.518618		
1608.318908	2908.518618		
1623.175820	2908.518618		
1635.590094	2908.518618		
1650.087729	2908.518618		
1662.372956	2908.518618		
1677.205363	2908.518618		
1689.557483	2908.518618		
1704.059264	2908.518618		
1716.739808	2908.518618		
1731.404763	2908.518618		
1743.718355	2908.518618		
1758.284754	2908.518618		
1770.892633	2908.518618		
1785.354960	2908.518618		
1797.831621	2908.518618		
1812.469681	2908.518618		
1825.074581	2908.518618		
1406.339581	2922.662261		
1418.429838	2922.662261		
1433.486860	2922.662261		
1445.634935	2922.662261		
1460.333304	2922.662261		
1472.821826	2922.662261		
1487.466711	2922.662261		
1499.931697	2922.662261		
1514.505220	2922.662261		
1527.149578	2922.662261		
1541.737516	2922.662261		
1554.175025	2922.662261		
1568.844071	2922.662261		
1581.376189	2922.662261		
1595.904356	2922.662261		
1608.318908	2922.662261		
1623.175820	2922.662261		
1635.590094	2922.662261		
1650.087729	2922.662261		
1662.372956	2922.662261		
1677.205363	2922.662261		
1689.557483	2922.662261		
1704.059264	2922.662261		
1716.739808	2922.662261		
1731.404763	2922.662261		
1743.718355	2922.662261		
1758.284754	2922.662261		
1770.892633	2922.662261		
1785.354960	2922.662261		
1797.831621	2922.662261		
1812.469681	2922.662261		
1825.074581	2922.662261		
1406.339581	2934.067900		
1418.429838	2934.067900		
1433.486860	2934.067900		
1445.634935	2934.067900		
1460.333304	2934.067900		
1472.821826	2934.067900		
1487.466711	2934.067900		
1499.931697	2934.067900		
1514.505220	2934.067900		
1527.149578	2934.067900		
1541.737516	2934.067900		
1554.175025	2934.067900		
1568.844071	2934.067900		
