Point	Grid		
30	32		
49.917767	4546.343501		
63.005301	4546.343501		
78.550316	4546.343501		
91.452266	4546.343501		
106.868403	4546.343501		
119.549151	4546.343501		
134.882245	4546.343501		
147.599276	4546.343501		
162.844855	4546.343501		
175.734976	4546.343501		
190.900558	4546.343501		
203.734016	4546.343501		
218.974136	4546.343501		
231.434038	4546.343501		
246.740771	4546.343501		
259.421929	4546.343501		
274.553456	4546.343501		
287.269915	4546.343501		
302.264065	4546.343501		
314.924390	4546.343501		
330.277374	4546.343501		
342.566563	4546.343501		
357.576576	4546.343501		
369.880606	4546.343501		
385.338640	4546.343501		
397.578478	4546.343501		
412.671405	4546.343501		
425.386012	4546.343501		
440.484555	4546.343501		
452.575357	4546.343501		
467.634660	4546.343501		
480.310074	4546.343501		
49.917767	4560.620185		
63.005301	4560.620185		
78.550316	4560.620185		
91.452266	4560.620185		
106.868403	4560.620185		
119.549151	4560.620185		
134.882245	4560.620185		
147.599276	4560.620185		
162.844855	4560.620185		
175.734976	4560.620185		
190.900558	4560.620185		
203.734016	4560.620185		
218.974136	4560.620185		
231.434038	4560.620185		
246.740771	4560.620185		
259.421929	4560.620185		
274.553456	4560.620185		
287.269915	4560.620185		
302.264065	4560.620185		
314.924390	4560.620185		
330.277374	4560.620185		
342.566563	4560.620185		
357.576576	4560.620185		
369.880606	4560.620185		
385.338640	4560.620185		
397.578478	4560.620185		
412.671405	4560.620185		
425.386012	4560.620185		
440.484555	4560.620185		
452.575357	4560.620185		
467.634660	4560.620185		
480.310074	4560.620185		
49.917767	4574.624723		
63.005301	4574.624723		
78.550316	4574.624723		
91.452266	4574.624723		
106.868403	4574.624723		
119.549151	4574.624723		
134.882245	4574.624723		
147.599276	4574.624723		
162.844855	4574.624723		
175.734976	4574.624723		
190.900558	4574.624723		
203.734016	4574.624723		
218.974136	4574.624723		
231.434038	4574.624723		
246.740771	4574.624723		
259.421929	4574.624723		
274.553456	4574.624723		
287.269915	4574.624723		
302.264065	4574.624723		
314.924390	4574.624723		
330.277374	4574.624723		
342.566563	4574.624723		
357.576576	4574.624723		
369.880606	4574.624723		
385.338640	4574.624723		
397.578478	4574.624723		
412.671405	4574.624723		
425.386012	4574.624723		
440.484555	4574.624723		
452.575357	4574.624723		
467.634660	4574.624723		
480.310074	4574.624723		
49.917767	4588.178388		
63.005301	4588.178388		
78.550316	4588.178388		
91.452266	4588.178388		
106.868403	4588.178388		
119.549151	4588.178388		
134.882245	4588.178388		
147.599276	4588.178388		
162.844855	4588.178388		
175.734976	4588.178388		
190.900558	4588.178388		
203.734016	4588.178388		
218.974136	4588.178388		
231.434038	4588.178388		
246.740771	4588.178388		
259.421929	4588.178388		
274.553456	4588.178388		
287.269915	4588.178388		
302.264065	4588.178388		
314.924390	4588.178388		
330.277374	4588.178388		
342.566563	4588.178388		
357.576576	4588.178388		
369.880606	4588.178388		
385.338640	4588.178388		
397.578478	4588.178388		
412.671405	4588.178388		
425.386012	4588.178388		
440.484555	4588.178388		
452.575357	4588.178388		
467.634660	4588.178388		
480.310074	4588.178388		
49.917767	4602.126644		
63.005301	4602.126644		
78.550316	4602.126644		
91.452266	4602.126644		
106.868403	4602.126644		
119.549151	4602.126644		
134.882245	4602.126644		
147.599276	4602.126644		
162.844855	4602.126644		
175.734976	4602.126644		
190.900558	4602.126644		
203.734016	4602.126644		
218.974136	4602.126644		
231.434038	4602.126644		
246.740771	4602.126644		
259.421929	4602.126644		
274.553456	4602.126644		
287.269915	4602.126644		
302.264065	4602.126644		
314.924390	4602.126644		
330.277374	4602.126644		
342.566563	4602.126644		
357.576576	4602.126644		
369.880606	4602.126644		
385.338640	4602.126644		
397.578478	4602.126644		
412.671405	4602.126644		
425.386012	4602.126644		
440.484555	4602.126644		
452.575357	4602.126644		
467.634660	4602.126644		
480.310074	4602.126644		
49.917767	4616.268631		
63.005301	4616.268631		
78.550316	4616.268631		
91.452266	4616.268631		
106.868403	4616.268631		
119.549151	4616.268631		
134.882245	4616.268631		
147.599276	4616.268631		
162.844855	4616.268631		
175.734976	4616.268631		
190.900558	4616.268631		
203.734016	4616.268631		
218.974136	4616.268631		
231.434038	4616.268631		
246.740771	4616.268631		
259.421929	4616.268631		
274.553456	4616.268631		
287.269915	4616.268631		
302.264065	4616.268631		
314.924390	4616.268631		
330.277374	4616.268631		
342.566563	4616.268631		
357.576576	4616.268631		
369.880606	4616.268631		
385.338640	4616.268631		
397.578478	4616.268631		
412.671405	4616.268631		
425.386012	4616.268631		
440.484555	4616.268631		
452.575357	4616.268631		
467.634660	4616.268631		
480.310074	4616.268631		
49.917767	4630.582592		
63.005301	4630.582592		
78.550316	4630.582592		
91.452266	4630.582592		
106.868403	4630.582592		
119.549151	4630.582592		
134.882245	4630.582592		
147.599276	4630.582592		
162.844855	4630.582592		
175.734976	4630.582592		
190.900558	4630.582592		
203.734016	4630.582592		
218.974136	4630.582592		
231.434038	4630.582592		
246.740771	4630.582592		
259.421929	4630.582592		
274.553456	4630.582592		
287.269915	4630.582592		
302.264065	4630.582592		
314.924390	4630.582592		
330.277374	4630.582592		
342.566563	4630.582592		
357.576576	4630.582592		
369.880606	4630.582592		
385.338640	4630.582592		
397.578478	4630.582592		
412.671405	4630.582592		
425.386012	4630.582592		
440.484555	4630.582592		
452.575357	4630.582592		
467.634660	4630.582592		
480.310074	4630.582592		
49.917767	4644.080418		
63.005301	4644.080418		
78.550316	4644.080418		
91.452266	4644.080418		
106.868403	4644.080418		
119.549151	4644.080418		
134.882245	4644.080418		
147.599276	4644.080418		
162.844855	4644.080418		
175.734976	4644.080418		
190.900558	4644.080418		
203.734016	4644.080418		
218.974136	4644.080418		
231.434038	4644.080418		
246.740771	4644.080418		
259.421929	4644.080418		
274.553456	4644.080418		
287.269915	4644.080418		
302.264065	4644.080418		
314.924390	4644.080418		
330.277374	4644.080418		
342.566563	4644.080418		
357.576576	4644.080418		
369.880606	4644.080418		
385.338640	4644.080418		
397.578478	4644.080418		
412.671405	4644.080418		
425.386012	4644.080418		
440.484555	4644.080418		
452.575357	4644.080418		
467.634660	4644.080418		
480.310074	4644.080418		
49.917767	4658.282967		
63.005301	4658.282967		
78.550316	4658.282967		
91.452266	4658.282967		
106.868403	4658.282967		
119.549151	4658.282967		
134.882245	4658.282967		
147.599276	4658.282967		
162.844855	4658.282967		
175.734976	4658.282967		
190.900558	4658.282967		
203.734016	4658.282967		
218.974136	4658.282967		
231.434038	4658.282967		
246.740771	4658.282967		
259.421929	4658.282967		
274.553456	4658.282967		
287.269915	4658.282967		
302.264065	4658.282967		
314.924390	4658.282967		
330.277374	4658.282967		
342.566563	4658.282967		
357.576576	4658.282967		
369.880606	4658.282967		
385.338640	4658.282967		
397.578478	4658.282967		
412.671405	4658.282967		
425.386012	4658.282967		
440.484555	4658.282967		
452.575357	4658.282967		
467.634660	4658.282967		
480.310074	4658.282967		
49.917767	4672.040820		
63.005301	4672.040820		
78.550316	4672.040820		
91.452266	4672.040820		
106.868403	4672.040820		
119.549151	4672.040820		
134.882245	4672.040820		
147.599276	4672.040820		
162.844855	4672.040820		
175.734976	4672.040820		
190.900558	4672.040820		
203.734016	4672.040820		
218.974136	4672.040820		
231.434038	4672.040820		
246.740771	4672.040820		
259.421929	4672.040820		
274.553456	4672.040820		
287.269915	4672.040820		
302.264065	4672.040820		
314.924390	4672.040820		
330.277374	4672.040820		
342.566563	4672.040820		
357.576576	4672.040820		
369.880606	4672.040820		
385.338640	4672.040820		
397.578478	4672.040820		
412.671405	4672.040820		
425.386012	4672.040820		
440.484555	4672.040820		
452.575357	4672.040820		
467.634660	4672.040820		
480.310074	4672.040820		
49.917767	4686.075053		
63.005301	4686.075053		
78.550316	4686.075053		
91.452266	4686.075053		
106.868403	4686.075053		
119.549151	4686.075053		
134.882245	4686.075053		
147.599276	4686.075053		
162.844855	4686.075053		
175.734976	4686.075053		
190.900558	4686.075053		
203.734016	4686.075053		
218.974136	4686.075053		
231.434038	4686.075053		
246.740771	4686.075053		
259.421929	4686.075053		
274.553456	4686.075053		
287.269915	4686.075053		
302.264065	4686.075053		
314.924390	4686.075053		
330.277374	4686.075053		
342.566563	4686.075053		
357.576576	4686.075053		
369.880606	4686.075053		
385.338640	4686.075053		
397.578478	4686.075053		
412.671405	4686.075053		
425.386012	4686.075053		
440.484555	4686.075053		
452.575357	4686.075053		
467.634660	4686.075053		
480.310074	4686.075053		
49.917767	4700.078845		
63.005301	4700.078845		
78.550316	4700.078845		
91.452266	4700.078845		
106.868403	4700.078845		
119.549151	4700.078845		
134.882245	4700.078845		
147.599276	4700.078845		
162.844855	4700.078845		
175.734976	4700.078845		
190.900558	4700.078845		
203.734016	4700.078845		
218.974136	4700.078845		
231.434038	4700.078845		
246.740771	4700.078845		
259.421929	4700.078845		
274.553456	4700.078845		
287.269915	4700.078845		
302.264065	4700.078845		
314.924390	4700.078845		
330.277374	4700.078845		
342.566563	4700.078845		
357.576576	4700.078845		
369.880606	4700.078845		
385.338640	4700.078845		
397.578478	4700.078845		
412.671405	4700.078845		
425.386012	4700.078845		
440.484555	4700.078845		
452.575357	4700.078845		
467.634660	4700.078845		
480.310074	4700.078845		
49.917767	4714.023923		
63.005301	4714.023923		
78.550316	4714.023923		
91.452266	4714.023923		
106.868403	4714.023923		
119.549151	4714.023923		
134.882245	4714.023923		
147.599276	4714.023923		
162.844855	4714.023923		
175.734976	4714.023923		
190.900558	4714.023923		
203.734016	4714.023923		
218.974136	4714.023923		
231.434038	4714.023923		
246.740771	4714.023923		
259.421929	4714.023923		
274.553456	4714.023923		
287.269915	4714.023923		
302.264065	4714.023923		
314.924390	4714.023923		
330.277374	4714.023923		
342.566563	4714.023923		
357.576576	4714.023923		
369.880606	4714.023923		
385.338640	4714.023923		
397.578478	4714.023923		
412.671405	4714.023923		
425.386012	4714.023923		
440.484555	4714.023923		
452.575357	4714.023923		
467.634660	4714.023923		
480.310074	4714.023923		
49.917767	4728.027981		
63.005301	4728.027981		
78.550316	4728.027981		
91.452266	4728.027981		
106.868403	4728.027981		
119.549151	4728.027981		
134.882245	4728.027981		
147.599276	4728.027981		
162.844855	4728.027981		
175.734976	4728.027981		
190.900558	4728.027981		
203.734016	4728.027981		
218.974136	4728.027981		
231.434038	4728.027981		
246.740771	4728.027981		
259.421929	4728.027981		
274.553456	4728.027981		
287.269915	4728.027981		
302.264065	4728.027981		
314.924390	4728.027981		
330.277374	4728.027981		
342.566563	4728.027981		
357.576576	4728.027981		
369.880606	4728.027981		
385.338640	4728.027981		
397.578478	4728.027981		
412.671405	4728.027981		
425.386012	4728.027981		
440.484555	4728.027981		
452.575357	4728.027981		
467.634660	4728.027981		
480.310074	4728.027981		
49.917767	4739.766520		
63.005301	4739.766520		
78.550316	4739.766520		
91.452266	4739.766520		
106.868403	4739.766520		
119.549151	4739.766520		
134.882245	4739.766520		
147.599276	4739.766520		
162.844855	4739.766520		
175.734976	4739.766520		
190.900558	4739.766520		
203.734016	4739.766520		
218.974136	4739.766520		
231.434038	4739.766520		
246.740771	4739.766520		
259.421929	4739.766520		
274.553456	4739.766520		
287.269915	4739.766520		
302.264065	4739.766520		
314.924390	4739.766520		
330.277374	4739.766520		
342.566563	4739.766520		
357.576576	4739.766520		
369.880606	4739.766520		
385.338640	4739.766520		
397.578478	4739.766520		
412.671405	4739.766520		
425.386012	4739.766520		
440.484555	4739.766520		
452.575357	4739.766520		
467.634660	4739.766520		
480.310074	4739.766520		
49.917767	4753.633922		
63.005301	4753.633922		
78.550316	4753.633922		
91.452266	4753.633922		
106.868403	4753.633922		
119.549151	4753.633922		
134.882245	4753.633922		
147.599276	4753.633922		
162.844855	4753.633922		
175.734976	4753.633922		
190.900558	4753.633922		
203.734016	4753.633922		
218.974136	4753.633922		
231.434038	4753.633922		
246.740771	4753.633922		
259.421929	4753.633922		
274.553456	4753.633922		
287.269915	4753.633922		
302.264065	4753.633922		
314.924390	4753.633922		
330.277374	4753.633922		
342.566563	4753.633922		
357.576576	4753.633922		
369.880606	4753.633922		
385.338640	4753.633922		
397.578478	4753.633922		
412.671405	4753.633922		
425.386012	4753.633922		
440.484555	4753.633922		
452.575357	4753.633922		
467.634660	4753.633922		
480.310074	4753.633922		
49.917767	4767.185570		
63.005301	4767.185570		
78.550316	4767.185570		
91.452266	4767.185570		
106.868403	4767.185570		
119.549151	4767.185570		
134.882245	4767.185570		
147.599276	4767.185570		
