Point	Grid		
30	32		
20.600191	498.056571		
33.613164	498.056571		
49.175033	498.056571		
61.858602	498.056571		
77.603297	498.056571		
90.143322	498.056571		
105.759102	498.056571		
118.569034	498.056571		
134.166402	498.056571		
146.588140	498.056571		
161.896370	498.056571		
174.588329	498.056571		
189.951693	498.056571		
202.566755	498.056571		
217.704667	498.056571		
230.550582	498.056571		
245.759683	498.056571		
258.157278	498.056571		
273.588816	498.056571		
285.875880	498.056571		
300.930918	498.056571		
313.777378	498.056571		
328.623319	498.056571		
341.487176	498.056571		
356.466547	498.056571		
368.772004	498.056571		
384.078129	498.056571		
396.309808	498.056571		
411.615621	498.056571		
424.044933	498.056571		
438.820094	498.056571		
451.043706	498.056571		
20.600191	512.334892		
33.613164	512.334892		
49.175033	512.334892		
61.858602	512.334892		
77.603297	512.334892		
90.143322	512.334892		
105.759102	512.334892		
118.569034	512.334892		
134.166402	512.334892		
146.588140	512.334892		
161.896370	512.334892		
174.588329	512.334892		
189.951693	512.334892		
202.566755	512.334892		
217.704667	512.334892		
230.550582	512.334892		
245.759683	512.334892		
258.157278	512.334892		
273.588816	512.334892		
285.875880	512.334892		
300.930918	512.334892		
313.777378	512.334892		
328.623319	512.334892		
341.487176	512.334892		
356.466547	512.334892		
368.772004	512.334892		
384.078129	512.334892		
396.309808	512.334892		
411.615621	512.334892		
424.044933	512.334892		
438.820094	512.334892		
451.043706	512.334892		
20.600191	526.160905		
33.613164	526.160905		
49.175033	526.160905		
61.858602	526.160905		
77.603297	526.160905		
90.143322	526.160905		
105.759102	526.160905		
118.569034	526.160905		
134.166402	526.160905		
146.588140	526.160905		
161.896370	526.160905		
174.588329	526.160905		
189.951693	526.160905		
202.566755	526.160905		
217.704667	526.160905		
230.550582	526.160905		
245.759683	526.160905		
258.157278	526.160905		
273.588816	526.160905		
285.875880	526.160905		
300.930918	526.160905		
313.777378	526.160905		
328.623319	526.160905		
341.487176	526.160905		
356.466547	526.160905		
368.772004	526.160905		
384.078129	526.160905		
396.309808	526.160905		
411.615621	526.160905		
424.044933	526.160905		
438.820094	526.160905		
451.043706	526.160905		
20.600191	540.138640		
33.613164	540.138640		
49.175033	540.138640		
61.858602	540.138640		
77.603297	540.138640		
90.143322	540.138640		
105.759102	540.138640		
118.569034	540.138640		
134.166402	540.138640		
146.588140	540.138640		
161.896370	540.138640		
174.588329	540.138640		
189.951693	540.138640		
202.566755	540.138640		
217.704667	540.138640		
230.550582	540.138640		
245.759683	540.138640		
258.157278	540.138640		
273.588816	540.138640		
285.875880	540.138640		
300.930918	540.138640		
313.777378	540.138640		
328.623319	540.138640		
341.487176	540.138640		
356.466547	540.138640		
368.772004	540.138640		
384.078129	540.138640		
396.309808	540.138640		
411.615621	540.138640		
424.044933	540.138640		
438.820094	540.138640		
451.043706	540.138640		
20.600191	554.134756		
33.613164	554.134756		
49.175033	554.134756		
61.858602	554.134756		
77.603297	554.134756		
90.143322	554.134756		
105.759102	554.134756		
118.569034	554.134756		
134.166402	554.134756		
146.588140	554.134756		
161.896370	554.134756		
174.588329	554.134756		
189.951693	554.134756		
202.566755	554.134756		
217.704667	554.134756		
230.550582	554.134756		
245.759683	554.134756		
258.157278	554.134756		
273.588816	554.134756		
285.875880	554.134756		
300.930918	554.134756		
313.777378	554.134756		
328.623319	554.134756		
341.487176	554.134756		
356.466547	554.134756		
368.772004	554.134756		
384.078129	554.134756		
396.309808	554.134756		
411.615621	554.134756		
424.044933	554.134756		
438.820094	554.134756		
451.043706	554.134756		
20.600191	568.405606		
33.613164	568.405606		
49.175033	568.405606		
61.858602	568.405606		
77.603297	568.405606		
90.143322	568.405606		
105.759102	568.405606		
118.569034	568.405606		
134.166402	568.405606		
146.588140	568.405606		
161.896370	568.405606		
174.588329	568.405606		
189.951693	568.405606		
202.566755	568.405606		
217.704667	568.405606		
230.550582	568.405606		
245.759683	568.405606		
258.157278	568.405606		
273.588816	568.405606		
285.875880	568.405606		
300.930918	568.405606		
313.777378	568.405606		
328.623319	568.405606		
341.487176	568.405606		
356.466547	568.405606		
368.772004	568.405606		
384.078129	568.405606		
396.309808	568.405606		
411.615621	568.405606		
424.044933	568.405606		
438.820094	568.405606		
451.043706	568.405606		
20.600191	582.768770		
33.613164	582.768770		
49.175033	582.768770		
61.858602	582.768770		
77.603297	582.768770		
90.143322	582.768770		
105.759102	582.768770		
118.569034	582.768770		
134.166402	582.768770		
146.588140	582.768770		
161.896370	582.768770		
174.588329	582.768770		
189.951693	582.768770		
202.566755	582.768770		
217.704667	582.768770		
230.550582	582.768770		
245.759683	582.768770		
258.157278	582.768770		
273.588816	582.768770		
285.875880	582.768770		
300.930918	582.768770		
313.777378	582.768770		
328.623319	582.768770		
341.487176	582.768770		
356.466547	582.768770		
368.772004	582.768770		
384.078129	582.768770		
396.309808	582.768770		
411.615621	582.768770		
424.044933	582.768770		
438.820094	582.768770		
451.043706	582.768770		
20.600191	596.385288		
33.613164	596.385288		
49.175033	596.385288		
61.858602	596.385288		
77.603297	596.385288		
90.143322	596.385288		
105.759102	596.385288		
118.569034	596.385288		
134.166402	596.385288		
146.588140	596.385288		
161.896370	596.385288		
174.588329	596.385288		
189.951693	596.385288		
202.566755	596.385288		
217.704667	596.385288		
230.550582	596.385288		
245.759683	596.385288		
258.157278	596.385288		
273.588816	596.385288		
285.875880	596.385288		
300.930918	596.385288		
313.777378	596.385288		
328.623319	596.385288		
341.487176	596.385288		
356.466547	596.385288		
368.772004	596.385288		
384.078129	596.385288		
396.309808	596.385288		
411.615621	596.385288		
424.044933	596.385288		
438.820094	596.385288		
451.043706	596.385288		
20.600191	610.371263		
33.613164	610.371263		
49.175033	610.371263		
61.858602	610.371263		
77.603297	610.371263		
90.143322	610.371263		
105.759102	610.371263		
118.569034	610.371263		
134.166402	610.371263		
146.588140	610.371263		
161.896370	610.371263		
174.588329	610.371263		
189.951693	610.371263		
202.566755	610.371263		
217.704667	610.371263		
230.550582	610.371263		
245.759683	610.371263		
258.157278	610.371263		
273.588816	610.371263		
285.875880	610.371263		
300.930918	610.371263		
313.777378	610.371263		
328.623319	610.371263		
341.487176	610.371263		
356.466547	610.371263		
368.772004	610.371263		
384.078129	610.371263		
396.309808	610.371263		
411.615621	610.371263		
424.044933	610.371263		
438.820094	610.371263		
451.043706	610.371263		
20.600191	624.453349		
33.613164	624.453349		
49.175033	624.453349		
61.858602	624.453349		
77.603297	624.453349		
90.143322	624.453349		
105.759102	624.453349		
118.569034	624.453349		
134.166402	624.453349		
146.588140	624.453349		
161.896370	624.453349		
174.588329	624.453349		
189.951693	624.453349		
202.566755	624.453349		
217.704667	624.453349		
230.550582	624.453349		
245.759683	624.453349		
258.157278	624.453349		
273.588816	624.453349		
285.875880	624.453349		
300.930918	624.453349		
313.777378	624.453349		
328.623319	624.453349		
