Point	Grid		
30	32		
486.390185	496.845793		
498.569833	496.845793		
513.616783	496.845793		
525.995466	496.845793		
541.207802	496.845793		
553.521905	496.845793		
568.471154	496.845793		
581.129155	496.845793		
595.842561	496.845793		
608.420483	496.845793		
623.472230	496.845793		
635.793789	496.845793		
650.645654	496.845793		
663.041267	496.845793		
678.074980	496.845793		
690.131912	496.845793		
705.133564	496.845793		
717.549253	496.845793		
732.344616	496.845793		
744.743691	496.845793		
759.444517	496.845793		
772.203984	496.845793		
786.669206	496.845793		
799.294129	496.845793		
814.067052	496.845793		
826.445434	496.845793		
841.132316	496.845793		
853.506433	496.845793		
868.452685	496.845793		
880.677565	496.845793		
895.357841	496.845793		
907.457645	496.845793		
486.390185	510.685850		
498.569833	510.685850		
513.616783	510.685850		
525.995466	510.685850		
541.207802	510.685850		
553.521905	510.685850		
568.471154	510.685850		
581.129155	510.685850		
595.842561	510.685850		
608.420483	510.685850		
623.472230	510.685850		
635.793789	510.685850		
650.645654	510.685850		
663.041267	510.685850		
678.074980	510.685850		
690.131912	510.685850		
705.133564	510.685850		
717.549253	510.685850		
732.344616	510.685850		
744.743691	510.685850		
759.444517	510.685850		
772.203984	510.685850		
786.669206	510.685850		
799.294129	510.685850		
814.067052	510.685850		
826.445434	510.685850		
841.132316	510.685850		
853.506433	510.685850		
868.452685	510.685850		
880.677565	510.685850		
895.357841	510.685850		
907.457645	510.685850		
486.390185	525.008060		
498.569833	525.008060		
513.616783	525.008060		
525.995466	525.008060		
541.207802	525.008060		
553.521905	525.008060		
568.471154	525.008060		
581.129155	525.008060		
595.842561	525.008060		
608.420483	525.008060		
623.472230	525.008060		
635.793789	525.008060		
650.645654	525.008060		
663.041267	525.008060		
678.074980	525.008060		
690.131912	525.008060		
705.133564	525.008060		
717.549253	525.008060		
732.344616	525.008060		
744.743691	525.008060		
759.444517	525.008060		
772.203984	525.008060		
786.669206	525.008060		
799.294129	525.008060		
814.067052	525.008060		
826.445434	525.008060		
841.132316	525.008060		
853.506433	525.008060		
868.452685	525.008060		
880.677565	525.008060		
895.357841	525.008060		
907.457645	525.008060		
486.390185	538.959358		
498.569833	538.959358		
513.616783	538.959358		
525.995466	538.959358		
541.207802	538.959358		
553.521905	538.959358		
568.471154	538.959358		
581.129155	538.959358		
595.842561	538.959358		
608.420483	538.959358		
623.472230	538.959358		
635.793789	538.959358		
650.645654	538.959358		
663.041267	538.959358		
678.074980	538.959358		
690.131912	538.959358		
705.133564	538.959358		
717.549253	538.959358		
732.344616	538.959358		
744.743691	538.959358		
759.444517	538.959358		
772.203984	538.959358		
786.669206	538.959358		
799.294129	538.959358		
814.067052	538.959358		
826.445434	538.959358		
841.132316	538.959358		
853.506433	538.959358		
868.452685	538.959358		
880.677565	538.959358		
895.357841	538.959358		
907.457645	538.959358		
486.390185	552.808438		
498.569833	552.808438		
513.616783	552.808438		
525.995466	552.808438		
541.207802	552.808438		
553.521905	552.808438		
568.471154	552.808438		
581.129155	552.808438		
595.842561	552.808438		
608.420483	552.808438		
623.472230	552.808438		
635.793789	552.808438		
650.645654	552.808438		
663.041267	552.808438		
678.074980	552.808438		
690.131912	552.808438		
705.133564	552.808438		
717.549253	552.808438		
732.344616	552.808438		
744.743691	552.808438		
759.444517	552.808438		
772.203984	552.808438		
786.669206	552.808438		
799.294129	552.808438		
814.067052	552.808438		
826.445434	552.808438		
841.132316	552.808438		
853.506433	552.808438		
868.452685	552.808438		
880.677565	552.808438		
895.357841	552.808438		
907.457645	552.808438		
486.390185	567.043928		
498.569833	567.043928		
513.616783	567.043928		
525.995466	567.043928		
541.207802	567.043928		
553.521905	567.043928		
568.471154	567.043928		
581.129155	567.043928		
595.842561	567.043928		
608.420483	567.043928		
623.472230	567.043928		
635.793789	567.043928		
650.645654	567.043928		
663.041267	567.043928		
678.074980	567.043928		
690.131912	567.043928		
