Point	Grid		
30	32		
18.298829	50.065932		
31.016442	50.065932		
46.821838	50.065932		
59.954989	50.065932		
75.579173	50.065932		
87.886528	50.065932		
103.802842	50.065932		
116.381901	50.065932		
131.813852	50.065932		
144.412588	50.065932		
159.590344	50.065932		
172.417399	50.065932		
187.882308	50.065932		
200.418712	50.065932		
215.464457	50.065932		
228.363214	50.065932		
243.553210	50.065932		
256.536603	50.065932		
271.331303	50.065932		
284.169576	50.065932		
299.146934	50.065932		
311.401553	50.065932		
326.795425	50.065932		
339.537526	50.065932		
354.197988	50.065932		
366.702169	50.065932		
381.629071	50.065932		
394.601535	50.065932		
409.317361	50.065932		
421.827757	50.065932		
436.740126	50.065932		
449.301060	50.065932		
18.298829	65.048075		
31.016442	65.048075		
46.821838	65.048075		
59.954989	65.048075		
75.579173	65.048075		
87.886528	65.048075		
103.802842	65.048075		
116.381901	65.048075		
131.813852	65.048075		
144.412588	65.048075		
159.590344	65.048075		
172.417399	65.048075		
187.882308	65.048075		
200.418712	65.048075		
215.464457	65.048075		
228.363214	65.048075		
243.553210	65.048075		
256.536603	65.048075		
271.331303	65.048075		
284.169576	65.048075		
299.146934	65.048075		
311.401553	65.048075		
326.795425	65.048075		
339.537526	65.048075		
354.197988	65.048075		
366.702169	65.048075		
381.629071	65.048075		
394.601535	65.048075		
409.317361	65.048075		
421.827757	65.048075		
436.740126	65.048075		
449.301060	65.048075		
18.298829	79.130580		
31.016442	79.130580		
46.821838	79.130580		
59.954989	79.130580		
75.579173	79.130580		
87.886528	79.130580		
103.802842	79.130580		
116.381901	79.130580		
131.813852	79.130580		
144.412588	79.130580		
159.590344	79.130580		
172.417399	79.130580		
187.882308	79.130580		
200.418712	79.130580		
215.464457	79.130580		
228.363214	79.130580		
243.553210	79.130580		
256.536603	79.130580		
271.331303	79.130580		
284.169576	79.130580		
299.146934	79.130580		
311.401553	79.130580		
326.795425	79.130580		
339.537526	79.130580		
354.197988	79.130580		
366.702169	79.130580		
381.629071	79.130580		
394.601535	79.130580		
409.317361	79.130580		
421.827757	79.130580		
436.740126	79.130580		
449.301060	79.130580		
18.298829	93.010034		
31.016442	93.010034		
46.821838	93.010034		
59.954989	93.010034		
75.579173	93.010034		
87.886528	93.010034		
103.802842	93.010034		
